"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"UBE2A",0.943820917828702,9.52652153247196,10.5938012671912,2.09913396699805e-20,5.19272811905233e-19,35.6822428951389,"Not Sig"
"KIAA0922",-0.852134810461683,8.96485902143771,-10.5934070426654,2.10444007705248e-20,5.19687848683151e-19,35.6797444716923,"Not Sig"
"SPATA18",-0.870769759735682,7.23583284090086,-10.5929966424936,2.10997811665609e-20,5.20158632785975e-19,35.6771435530555,"Not Sig"
"RAB22A",0.838388996028618,9.25097209855928,10.5906566269866,2.14183369800124e-20,5.27104537052778e-19,35.6623140325158,"Not Sig"
"EGR1",-1.90278729145039,10.6152143120317,-10.586684803171,2.19700553649424e-20,5.38968729696949e-19,35.6371446013985,"Down"
"CCNB1",0.782570281469835,7.4964939595076,10.5866447892335,2.19756851318172e-20,5.38968729696949e-19,35.636891042512,"Not Sig"
"SPCS1",0.828110137457154,12.129873815179,10.5856891953169,2.21105608448164e-20,5.41349680308215e-19,35.6308357241896,"Not Sig"
"POLR2J3",0.754167077903322,9.93153258772672,10.5795621617904,2.29951844206349e-20,5.6204782671801e-19,35.5920130217203,"Not Sig"
"C1orf162",-1.31154887039893,9.56493819110629,-10.5791752846519,2.30522120830759e-20,5.62481829073076e-19,35.5895617994297,"Down"
"NXF3",-0.334453018809304,7.04226985924545,-10.5784233070277,2.31634612405309e-20,5.64235128143068e-19,35.5847973796605,"Not Sig"
"MT1M",-3.20878037255516,9.23550401527135,-10.5780627688434,2.32169897595711e-20,5.64578852846072e-19,35.5825130859682,"Down"
"DUSP5",-1.43240970508145,9.63669190779306,-10.5765089366946,2.34490997964169e-20,5.69256705735727e-19,35.5726685068236,"Down"
"SPTBN5",-1.11199892014418,7.8720730894261,-10.5683174231432,2.47115440692187e-20,5.98889079024398e-19,35.5207743649103,"Down"
"HIST1H1A",-0.518667987410954,7.5084335348822,-10.5673892932279,2.48587923447294e-20,6.01440004651282e-19,35.5148950529796,"Not Sig"
"VPS25",0.749882803314014,8.60483008639383,10.5664626611685,2.50066758693201e-20,6.0399767028039e-19,35.5090253297182,"Not Sig"
"STX6",0.538792036371371,7.97207800591109,10.5660711202892,2.50694262343755e-20,6.044939258501e-19,35.5065451558031,"Not Sig"
"SLC25A43",0.893446150478574,9.11071016734183,10.5640117661732,2.54020631477022e-20,6.11485294898385e-19,35.4935006920248,"Not Sig"
"PC",-1.14390509144133,9.83559623173108,-10.55919573101,2.61972565215125e-20,6.29569303955744e-19,35.4629966598932,"Down"
"ZSCAN2",0.708590656048686,8.40709867019697,10.5557402196098,2.67830590807804e-20,6.42569104211085e-19,35.4411116542498,"Not Sig"
"PDCD10",0.793591294563267,9.51876120247004,10.5546477771084,2.69709615813999e-20,6.45995121622728e-19,35.4341931120087,"Not Sig"
"RNF122",-0.514656368272917,7.73162935918673,-10.5537078354856,2.71336854216674e-20,6.48807639890722e-19,35.4282404846857,"Not Sig"
"RRP1B",0.491702401191818,7.48102027866722,10.5491279375678,2.79406792282366e-20,6.66990580976721e-19,35.399237591727,"Not Sig"
"HAT1",0.758680598788981,8.86886941402901,10.5456859867823,2.85628766780126e-20,6.80708956171671e-19,35.3774425487663,"Not Sig"
"ABHD6",-0.99938030996819,9.97787323283697,-10.5359081871319,3.04068003903782e-20,7.23449504969081e-19,35.3155354352774,"Not Sig"
"NUP205",0.702378788330654,9.32297937687819,10.5355234540565,3.04817329262081e-20,7.24029619738107e-19,35.313099770062,"Not Sig"
"SLC38A6",0.863051180148489,8.39634289725877,10.5334599527184,3.08867844410372e-20,7.3243611514731e-19,35.3000364718791,"Not Sig"
"CENPL",0.578908810295339,7.46397805122157,10.5313484433653,3.13068162615862e-20,7.41169469941652e-19,35.2866697764084,"Not Sig"
"AURKB",1.06810344807782,7.38457032559214,10.5298992609245,3.15983862777097e-20,7.46837766758476e-19,35.2774961814979,"Up"
"PIGH",0.673939953302587,8.16646114872028,10.528931584894,3.17945852434484e-20,7.50236976016329e-19,35.2713707512969,"Not Sig"
"ECHS1",-1.15131235103643,12.9680606474386,-10.5277218501511,3.20415717977533e-20,7.54821435623717e-19,35.2637132363197,"Down"
"MESP1",1.05567834783966,7.86669781533565,10.5212343593568,3.33991067780492e-20,7.85509698492609e-19,35.2226509708131,"Up"
"FAM72D",0.787273918585279,7.13028839625339,10.5182508926728,3.40425171867596e-20,7.9932946502616e-19,35.2037689510631,"Not Sig"
"EEF2KMT",0.653771658110639,7.41180138817208,10.5102931270746,3.58197720219266e-20,8.39683460998453e-19,35.1534103894616,"Not Sig"
"GOLGA2",-0.57980276100213,8.44088433670986,-10.5068085062151,3.66268594223034e-20,8.57200175662829e-19,35.1313613114759,"Not Sig"
"C10orf88",0.621790145329454,7.40671466750295,10.506237941355,3.67607272110826e-20,8.58929683269716e-19,35.1277511790611,"Not Sig"
"HAAO",-0.752327061928587,8.11548429358783,-10.5007071154766,3.80839429172499e-20,8.88397906195066e-19,35.0927580491482,"Not Sig"
"CCDC97",0.648802151154776,8.24514903388562,10.4930494697259,3.99947385699856e-20,9.31454700061633e-19,35.0443148037165,"Not Sig"
"CTSB",-1.12873525186758,12.8134671294303,-10.4917934583177,4.03171490862111e-20,9.37439166171755e-19,35.0363697950255,"Down"
"ACOT8",0.529699571714605,7.56198877384075,10.4910943565519,4.04977256479491e-20,9.40111709004173e-19,35.0319476495526,"Not Sig"
"AP3M1",0.760363992143365,8.76704658019909,10.4852927825684,4.20277158000531e-20,9.74050118776958e-19,34.9952522797061,"Not Sig"
"PEX2",0.931407505341074,8.91919811008705,10.4837005271252,4.24576141174642e-20,9.82423920847238e-19,34.9851818685514,"Not Sig"
"DARS2",0.741198177520561,8.89682135840282,10.4723663837628,4.5647111038033e-20,1.0545218893512e-18,34.9135066831919,"Not Sig"
"CKLF",1.19922050138891,9.95339796619082,10.471480693426,4.59061888404869e-20,1.0587992637074e-18,34.9079063930111,"Up"
"PEA15",0.876596852873785,10.7951486720192,10.4630649352265,4.84422613696956e-20,1.1154959961385e-18,34.8546977079736,"Not Sig"
"MAN1C1",-1.03902495678845,7.98719637561211,-10.4626441217962,4.85726773593659e-20,1.1167037846199e-18,34.8520373417748,"Down"
"STAG2",0.755434436770763,8.91293954301555,10.4584989604732,4.98761781542247e-20,1.14432577206842e-18,34.8258329628263,"Not Sig"
