"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004866","endopeptidase inhibitor activity","36/1487","168/18496",0.214285714285714,2.66538572389278,6.41143438073559,4.43610123533583e-08,1.79733650051026e-06,1.79733650051026e-06,"SERPINE1/SERPINH1/PTTG1/PAPLN/FETUB/SERPINA7/SERPING1/CST1/SPP2/SERPINA3/PI3/PCSK1N/SERPINA5/SERPINA4/SERPINF2/HRG/AHSG/ITIH1/KNG1/SERPIND1/SERPINA11/ITIH2/C5/SPOCK1/SERPINF1/LPA/BST2/SERPINC1/SPINK1/FURIN/GBP2/AMBP/PROS1/A2M/SERPINA10/SLCO1B3",36
"GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","14/1487","32/18496",0.4375,5.4418291862811,7.43562036760615,5.24381193144363e-08,2.05819618309162e-06,2.05819618309162e-06,"HSD17B6/SRD5A2/HSD17B13/AKR1B15/RDH5/HSD17B8/AKR1C3/HSD17B2/DHRS1/AKR1C4/HSD17B14/HSD3B7/RDH16/HSD11B1",14
"GO:1901681","sulfur compound binding","49/1487","275/18496",0.178181818181818,2.21630861404903,6.00851689735137,9.87919429172061e-08,3.76008122133366e-06,3.76008122133366e-06,"GNMT/OGDHL/CBS/DBT/ACACB/GREM2/F11/THBS4/TKT/LIPG/SMOC1/ANG/LIPC/TPMT/PCSK6/APOA5/F2/SERPINA5/ECM2/RSPO3/HRG/CD34/CFH/SAA1/MDK/DHTKD1/KNG1/SULT2A1/PANK1/SERPIND1/PC/PCOLCE/PCCA/GCDH/LPA/VEGFB/ACADL/SULT1A1/TGFBR3/ANGPTL3/NAV2/SOAT2/FTH1/SERPINC1/FURIN/SCP2/CLEC3B/SERPINA10/FST",49
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","15/1487","39/18496",0.384615384615385,4.7840256582691,6.99437771186297,1.39462339054085e-07,5.00470565291229e-06,5.00470565291229e-06,"ALDH3A2/ALDH6A1/ALDH4A1/ALDH1B1/ADH4/ALDH3A1/ALDH1L1/ALDH8A1/ALDH7A1/AKR1C3/ALDH5A1/ALDH2/AKR1C4/CYP27A1/AKR1B10",15
"GO:0019825","oxygen binding","15/1487","39/18496",0.384615384615385,4.7840256582691,6.99437771186297,1.39462339054085e-07,5.00470565291229e-06,5.00470565291229e-06,"CBS/CYP2E1/CYP2C18/CYP1A1/CYGB/CYP2A7/HBB/SOD2/CYP8B1/HBA2/CYP3A4/CYP17A1/CYP26A1/TDO2/HBA1",15
"GO:0008236","serine-type peptidase activity","38/1487","192/18496",0.197916666666667,2.46177986998431,6.02008813269049,1.71831827770411e-07,5.99502154665658e-06,5.99502154665658e-06,"F7/F11/HABP2/F12/PRCP/MMP12/HPN/MASP1/BMP1/C1R/PCSK6/F2/MMP11/C1RL/C2/F9/PCSK9/KLKB1/PROC/CPVL/LPA/MASP2/CFI/RELN/CPD/PROZ/PRSS8/TMPRSS6/PRSS3/MMP9/FURIN/F10/CTSA/TMPRSS2/HGFAC/PLG/CTSV/HPR",38
"GO:0008028","monocarboxylic acid transmembrane transporter activity","19/1487","62/18496",0.306451612903226,3.81178818578215,6.55710165375488,2.11361961569421e-07,7.17488172246466e-06,7.17488172246466e-06,"SLC43A3/ABCB11/MFSD2A/SLC26A6/MPC1/SLC51B/SLC27A5/ABCC4/SLC6A12/SLC10A1/SLC16A2/SLC6A1/SLCO1B1/AKR1C4/SLC27A2/SLC16A10/CEACAM1/ABCC3/SLCO1B3",19
"GO:0004867","serine-type endopeptidase inhibitor activity","25/1487","101/18496",0.247524752475248,3.07882839393556,6.19402127008386,2.84800432542627e-07,9.41340377035632e-06,9.41340377035632e-06,"SERPINE1/SERPINH1/PAPLN/SERPINA7/SERPING1/SERPINA3/PI3/PCSK1N/SERPINA5/SERPINA4/SERPINF2/HRG/ITIH1/SERPIND1/SERPINA11/ITIH2/SPOCK1/SERPINF1/SERPINC1/SPINK1/FURIN/AMBP/A2M/SERPINA10/SLCO1B3",25
"GO:0017171","serine hydrolase activity","38/1487","196/18496",0.193877551020408,2.41153946447442,5.87406539558261,2.98606346583277e-07,9.61665567457938e-06,9.61665567457938e-06,"F7/F11/HABP2/F12/PRCP/MMP12/HPN/MASP1/BMP1/C1R/PCSK6/F2/MMP11/C1RL/C2/F9/PCSK9/KLKB1/PROC/CPVL/LPA/MASP2/CFI/RELN/CPD/PROZ/PRSS8/TMPRSS6/PRSS3/MMP9/FURIN/F10/CTSA/TMPRSS2/HGFAC/PLG/CTSV/HPR",38
"GO:0050661","NADP binding","17/1487","53/18496",0.320754716981132,3.98969686972631,6.44454959048289,4.42089175525423e-07,1.38816001114983e-05,1.38816001114983e-05,"FMO3/ME1/HMGCR/TM7SF2/CBR4/G6PD/ASPDH/CAT/POR/GRHPR/SRD5A1/FMO4/QDPR/TP53I3/NNT/HSD11B1/FMO1",17
